"Estimator","Version","etahat_0","etahat_1","rdhat","rrhat","cov_00","cov_01","cov_11","var_rd","var_rr","eta_0","eta_1","rd","rr","seed","n_trial","n_aux","mu_correct","pi_correct","run_id","replicate"
"G-Formula","Naive",0.471631282970266,0.346696953069986,-0.12493432990028,0.735101689791522,0.00274729729779335,-6.11177321997364e-05,0.0029550814523594,0.00582461421455222,0.0203631829874148,0.492,0.44,-0.052,0.894308943089431,11000001,500,500,TRUE,TRUE,"parametric_mc20",1
"G-Formula","Proposed",0.540799955324686,0.346185982293969,-0.194613973030717,0.640136854460585,0.00316920635321058,-3.81866749448508e-05,0.00402609159845438,0.00727167130155466,0.0183736537364386,0.492,0.44,-0.052,0.894308943089431,11000001,500,500,TRUE,TRUE,"parametric_mc20",1
"IPW","Naive",0.522946127903654,0.411465270574829,-0.111480857328825,0.786821526386053,0.00454691806441463,-0.000195417540087221,0.00458991286356867,0.00952766600815775,0.0282016251820055,0.492,0.44,-0.052,0.894308943089431,11000001,500,500,TRUE,TRUE,"parametric_mc20",1
"IPW","Proposed",0.538627322699213,0.364115553315057,-0.174511769384156,0.676006466753992,0.00328897090232259,0.000394719695278864,0.00504979232909353,0.00754932384085839,0.0207470988463822,0.492,0.44,-0.052,0.894308943089431,11000001,500,500,TRUE,TRUE,"parametric_mc20",1
"AIPW","Naive",0.471383039669274,0.346946055575214,-0.124436984094061,0.736017264894879,0.00274883675964473,-6.03068310968706e-05,0.00295354491361746,0.00582299533545593,0.0203932592788743,0.492,0.44,-0.052,0.894308943089431,11000001,500,500,TRUE,TRUE,"parametric_mc20",1
"AIPW","Proposed",0.539575922552578,0.353864306857302,-0.185711615695276,0.655819305619257,0.00339928015222888,0.000206312258388403,0.0042384795815007,0.00722513521695277,0.0186503356953142,0.492,0.44,-0.052,0.894308943089431,11000001,500,500,TRUE,TRUE,"parametric_mc20",1
"G-Formula","Naive",0.486293399134156,0.358158661649679,-0.128134737484477,0.736507347801511,0.0029725517331791,-4.75381856310631e-05,0.00294461967262546,0.00601224777706669,0.0195663877132224,0.492,0.44,-0.052,0.894308943089431,11000001,500,500,FALSE,TRUE,"parametric_mc20",1
"G-Formula","Proposed",0.47943843936769,0.375536317920956,-0.103902121446735,0.783283706697013,0.00323393005276097,-2.28140883095979e-05,0.00282354610261008,0.00610310433199024,0.0210710182349711,0.492,0.44,-0.052,0.894308943089431,11000001,500,500,FALSE,TRUE,"parametric_mc20",1
"IPW","Naive",0.522946127903654,0.411465270574829,-0.111480857328825,0.786821526386053,0.00454691806441463,-0.000195417540087221,0.00458991286356867,0.00952766600815775,0.0282016251820055,0.492,0.44,-0.052,0.894308943089431,11000001,500,500,FALSE,TRUE,"parametric_mc20",1
"IPW","Proposed",0.538627322699213,0.364115553315057,-0.174511769384156,0.676006466753992,0.00328897090232259,0.000394719695278864,0.00504979232909353,0.00754932384085839,0.0207470988463822,0.492,0.44,-0.052,0.894308943089431,11000001,500,500,FALSE,TRUE,"parametric_mc20",1
"AIPW","Naive",0.49664588972168,0.356797539262217,-0.139848350459463,0.718414360505764,0.00291311444527359,-4.73890065411421e-05,0.00293839719409927,0.00594628965245515,0.0182844954804392,0.492,0.44,-0.052,0.894308943089431,11000001,500,500,FALSE,TRUE,"parametric_mc20",1
"AIPW","Proposed",0.527278704940896,0.352367667363826,-0.17491103757707,0.668275930853919,0.00318931917350086,0.000178148592145695,0.0045213776997371,0.00735439968894657,0.0205292476736994,0.492,0.44,-0.052,0.894308943089431,11000001,500,500,FALSE,TRUE,"parametric_mc20",1
